,0,1,2,3,4
0,239.73032,242.72984,258.2951,290.13998,277.7915
1,316.1986,325.8685,318.76047,289.84726,343.5979
2,257.79657,280.0615,298.1745,292.525,304.69644
3,220.49814,269.77298,266.55768,249.67868,276.3115
4,248.76318,278.4487,266.17657,294.74698,265.85162
5,222.66328,289.93124,293.8672,304.03485,296.51996
6,228.37479,273.5982,298.64322,309.9574,282.44327
7,218.96114,252.51581,297.1746,296.71445,282.74695
8,251.36778,262.0595,303.71423,317.33176,297.2175
9,251.24173,258.94556,279.71497,329.76483,322.50137
10,249.31001,263.95364,313.7558,330.6759,278.38666
11,260.27173,297.63943,288.21158,312.9755,299.18536
12,238.3102,265.0339,305.4727,291.9175,308.54742
13,256.65146,301.1218,307.04785,325.49466,293.38272
14,208.56236,282.6829,284.7268,271.3129,241.41273
15,272.4032,308.12616,313.1874,304.14917,347.40466
16,215.24432,253.30078,278.08978,310.59485,329.2138
17,248.8575,275.22318,293.72278,292.69995,329.93716
18,207.86972,235.4195,243.03099,263.2773,255.45477
19,263.5793,303.57376,293.88193,298.4534,321.42908
20,223.5961,245.21272,287.22687,276.49698,263.52158
21,250.17525,301.69778,316.33798,309.95734,326.99255
22,211.88931,241.8979,290.58176,295.93875,280.3972
23,248.50941,325.45456,336.86066,362.8923,371.78308
24,230.94278,274.2707,296.403,328.27673,327.88174
25,225.97523,264.66315,300.24847,318.77646,264.94952
26,293.45856,324.76773,317.5054,328.28857,328.41364
27,226.91467,239.25626,269.89233,279.10135,276.40244
28,217.9005,258.41797,288.04657,233.47325,257.6389
29,246.17886,283.76562,313.213,304.84525,316.10785
