,0,1,2,3,4
0,314.86606,358.44788,418.75397,495.97592,514.79095
1,324.14206,338.69885,350.90317,333.11575,427.0925
2,317.2345,315.2221,338.50375,332.1394,345.9909
3,242.6051,285.37164,293.5844,281.00162,305.0705
4,271.577,285.5221,276.23157,320.39743,336.33936
5,299.38766,306.12216,295.05722,301.74933,300.19968
6,222.89905,271.90567,345.30615,397.2088,388.2445
7,264.71518,324.17813,360.77435,354.54807,354.95102
8,307.36334,306.85486,361.96567,374.68243,343.9471
9,276.0727,317.81497,365.9934,437.6411,456.24182
10,314.54758,285.391,330.076,374.40524,348.67377
11,374.00357,451.6806,449.1004,467.39917,480.64478
12,298.93732,348.33627,387.8189,364.29605,373.9435
13,250.32736,298.68127,310.63376,332.0207,308.49384
14,438.55692,543.1197,563.0553,562.538,538.66675
15,264.6091,288.9653,323.66092,336.6851,402.70404
16,242.99849,258.4733,287.67017,328.35635,374.066
17,246.60143,281.79385,339.07123,366.499,416.90454
18,276.07324,313.21503,325.19238,348.12665,345.1408
19,275.1907,341.89682,402.66138,467.5192,541.2744
20,268.9045,280.73373,333.0909,329.56424,307.92062
21,252.7331,323.40463,325.19562,325.65356,340.38623
22,236.40395,259.5825,320.9024,319.34586,302.83862
23,281.00928,358.4709,387.59088,420.43552,438.73727
24,363.524,433.08887,472.04492,516.30884,516.29395
25,332.84888,325.761,328.05637,331.9053,280.0127
26,412.8013,413.04083,423.4997,446.6091,442.15726
27,335.49036,354.23593,360.1642,357.80176,359.14673
28,293.29077,382.29413,442.9023,418.37067,449.1227
29,339.19232,408.9341,445.84244,451.36798,468.85187
