,0,1,2,3,4
0,253.91013,297.56992,326.73083,426.75082,486.67545
1,347.8949,394.87952,474.82602,492.8385,560.45337
2,276.45367,354.33514,431.47354,464.32516,495.70132
3,261.94293,337.0655,385.0136,427.01678,492.0512
4,277.84982,346.38098,376.32507,453.99142,499.59732
5,249.68143,360.4702,420.60583,497.50638,557.9157
6,233.20561,327.22,423.49423,481.22717,508.569
7,226.2421,296.673,394.01575,438.31406,451.2841
8,251.39209,326.02686,417.16434,474.84113,508.09308
9,281.70895,358.09528,432.37234,545.5375,549.1942
10,267.20084,324.52048,409.5234,480.90662,489.94913
11,290.60303,363.9256,386.8461,450.33994,519.30975
12,232.50615,318.47104,417.01587,473.4804,525.9654
13,275.5126,343.34348,420.6788,486.54428,530.92395
14,242.79816,323.72687,422.001,464.98962,452.7948
15,247.02167,331.7569,391.73068,447.75534,537.1387
16,266.37518,300.8627,383.96033,489.5387,525.20264
17,236.95634,322.36182,380.7055,414.25198,512.7572
18,226.3035,279.5818,336.72958,402.07706,429.68726
19,279.73245,376.93933,429.41202,442.12866,490.49722
20,236.68248,312.9555,400.38083,453.29868,478.59024
21,272.3056,425.2957,456.07135,480.4384,577.6718
22,213.83554,304.6439,374.45697,404.3782,454.09055
23,259.58203,369.2676,445.0958,522.54114,578.1721
24,263.77444,356.59274,411.8922,500.9159,534.6202
25,232.34637,334.6841,403.78125,464.1878,477.17786
26,279.927,355.99268,424.42508,483.95248,524.5546
27,265.2666,305.34937,371.60138,446.512,522.36536
28,231.95032,308.9268,389.80145,397.34515,472.31616
29,285.93903,357.74707,483.86505,504.37405,533.52856
