,0,1,2,3,4
0,0.004629333,0.014193405,0.0045342227,0.0044745747,0.004025711
1,0.00070999586,0.0059503145,0.00084947544,0.025862677,0.0006629785
2,0.014496624,0.0016862507,0.0015344151,0.0016277427,0.0016868194
3,0.016365819,0.0030771089,0.0004061443,0.00015474208,0.004360215
4,0.0060020923,0.0008299822,0.0007577223,0.007958427,0.00076053216
5,0.0099758925,0.0053345407,0.00090926734,0.037038643,0.006559461
6,0.011409756,0.0010049051,0.00656082,0.002656156,0.0062666996
7,0.0032127684,0.0021771907,0.0015958213,0.0068255994,0.001762592
8,0.0012285473,0.0047977287,0.0029866882,0.0074951467,0.0022273194
9,0.0020251432,0.0017934695,0.0026254489,0.009532922,0.0029048857
10,0.0011688374,0.0051582055,0.0020959368,0.0010104551,0.0012091103
11,0.004275565,0.073852144,0.013596063,0.0031767935,0.0027412565
12,0.003716792,0.0024459923,0.002071033,0.0024636383,0.0018808708
13,0.021266986,0.004220307,0.0063927486,0.0024845903,0.0008462601
14,0.007778094,0.0041361423,0.0066491333,0.006757212,0.005193153
15,0.011756993,0.0012126353,0.0045934045,0.003382251,0.00094562874
16,0.0007066734,0.005887531,0.0012089328,0.0034117175,0.0014115928
17,0.0025091644,0.0010241854,0.013619244,0.011132439,0.0024008707
18,0.028441986,0.001793482,0.0044672876,0.0032818061,0.003293595
19,0.0031430775,0.013598453,0.0024594073,0.005642758,0.0053606695
20,0.0007440117,0.0016455144,0.001403218,0.0025682154,0.020532686
21,0.00036556373,0.00041135962,0.037421558,0.005308848,0.00999483
22,0.0008104312,0.00096858555,0.040299267,0.0012599647,0.0009674221
23,0.0022209983,0.002404204,0.013072508,0.0024645934,0.0022284703
24,0.0034155154,0.0033751575,0.004856625,0.0043835146,0.0033453105
25,0.004210826,0.004275041,0.0016189998,0.002065579,0.0018631851
26,0.003889552,0.004029377,0.004010921,0.0038244578,0.0038787862
27,0.003195989,0.004688498,0.0067938217,0.008304105,0.0020159537
28,0.00432283,0.004027941,0.0037920454,0.0049803937,0.003542109
29,0.0073343855,0.0026647313,0.0061423616,0.0026144097,0.002908468
