,0,1,2,3,4
0,284.98077,319.90695,343.74146,417.34464,496.26697
1,367.5132,428.40118,499.0718,499.8894,583.4223
2,354.83554,388.7556,468.93686,512.91425,551.2487
3,251.60823,351.3021,409.99304,429.19974,501.64185
4,266.19513,359.37463,401.78683,466.12836,522.8042
5,296.07758,380.0862,444.85947,537.89404,586.56836
6,281.888,359.28265,456.47855,502.98926,547.0031
7,296.86237,356.1995,408.58133,460.53162,499.60986
8,271.33905,355.31015,404.5369,488.2265,515.47644
9,297.0527,372.49997,435.92014,541.33984,561.1493
10,271.20786,333.20538,402.03265,480.7568,509.13693
11,305.40097,382.3569,422.2591,475.9576,508.37845
12,256.97742,323.80838,446.66605,489.6828,546.6866
13,308.04376,357.31915,450.96942,523.12225,558.13696
14,248.51756,350.5728,419.1446,455.09882,472.6874
15,294.00543,361.7786,414.96518,481.91583,579.4737
16,250.41551,317.39545,382.2632,485.4479,553.93256
17,272.8245,340.40778,394.15253,428.64133,536.0899
18,253.24875,313.39548,374.5455,453.3995,463.2142
19,301.033,396.65384,460.06967,463.01404,514.8503
20,322.51654,364.07114,470.3652,498.05267,536.843
21,280.57092,362.84015,433.56104,461.9615,539.3235
22,258.94852,322.56384,392.20837,430.90625,473.28214
23,309.31775,413.91238,480.47986,565.5624,605.78
24,269.84625,375.60367,424.21057,501.47452,522.9355
25,250.43729,357.67233,418.64655,498.2045,483.6376
26,331.43207,425.32968,478.0758,512.75995,542.4652
27,286.81763,338.2113,393.5979,493.53558,548.86255
28,291.26218,352.96268,386.70917,450.1878,495.06
29,285.5122,397.58188,509.3698,542.6045,576.78033
