,0,1,2,3,4
0,348.26105,446.27277,503.91437,574.70294,535.6384
1,308.72995,423.7546,517.5821,464.8972,567.882
2,286.7844,413.12073,463.25848,463.54953,527.2233
3,256.35248,348.39865,394.49774,444.9523,487.769
4,339.69766,405.3685,489.8595,535.66266,564.6565
5,292.6749,400.58502,476.51926,554.29016,569.9578
6,258.6438,355.84293,474.56125,538.931,580.5167
7,257.19427,340.31998,447.46262,481.33542,480.65027
8,486.21295,429.08942,640.7733,621.7364,564.5789
9,375.76303,440.8963,450.64206,564.5694,595.66
10,303.0649,348.50623,398.4468,454.16254,477.35596
11,381.4281,488.89127,503.74005,679.0969,636.1676
12,256.6092,299.21097,426.76724,452.0612,564.26666
13,311.96912,353.06287,450.34714,495.78455,481.21964
14,418.74292,442.4273,491.36066,483.94897,504.72937
15,549.90796,604.26843,651.9461,760.76056,800.868
16,293.84952,423.39108,405.45377,572.9951,600.9455
17,324.00394,384.8284,401.30377,462.9509,572.78253
18,402.7939,521.2912,452.47015,489.27957,613.3461
19,331.3431,418.51865,424.81186,464.09677,517.3002
20,279.63394,311.20596,484.44107,477.21567,484.9422
21,252.6211,384.78763,442.33777,466.21075,581.6307
22,337.04605,343.65765,446.09674,472.82385,584.054
23,354.4578,428.2128,508.41608,557.78217,693.7766
24,439.5101,557.12885,544.0594,678.847,608.0337
25,338.64664,391.34973,505.10678,596.4428,532.9479
26,332.9618,395.0075,470.54208,548.48236,552.59106
27,344.56332,404.83322,461.97928,444.06323,488.18707
28,315.0115,371.3641,399.8131,406.25336,469.30548
29,300.2781,409.24973,457.74466,537.36395,560.3657
